datetime,humidity,temperature,PC0_1,PC0_3,PC0_5,PC10,PC1_0,PC2_5,PC5_0,PM0_1,PM0_3,PM0_5,PM10,PM1_0,PM2_5,PM5_0
05-04-2026-00-14-36,63.6,29.5,1148552.0,393555.0,280842.0,0.0,15920.0,231.0,0.0,0.959685,9.838299,39.16946,55.54091,52.47161,55.49299,55.54091
05-04-2026-00-14-37,63.6,29.5,1177714.0,409759.0,299326.0,0.0,17897.0,205.0,0.0,0.984051,10.22823,41.48993,59.15771,56.44403,59.12827,59.15771
05-04-2026-00-14-38,63.6,29.5,1208591.0,426711.0,316928.0,0.0,19679.0,184.0,0.0,1.009851,10.63645,43.73643,62.60678,60.17951,62.58841,62.60678
05-04-2026-00-14-39,63.6,29.5,1235445.0,441926.0,331781.0,0.0,20881.0,197.0,0.0,1.032289,11.00216,45.65342,65.69209,63.10112,65.68112,65.69209
05-04-2026-00-14-40,63.6,29.5,1251937.0,450033.0,336405.0,0.0,21176.0,209.0,0.0,1.046069,11.19883,46.33298,66.76633,64.02721,66.76633,66.76633
05-04-2026-00-14-41,63.6,29.5,1264744.0,455081.0,335677.0,0.0,21558.0,219.0,0.0,1.05677,11.32341,46.38153,67.26661,64.39512,67.26661,67.26661
05-04-2026-00-14-42,63.7,29.5,1277288.0,459970.0,334198.0,0.0,21917.0,229.0,0.0,1.067251,11.44418,46.34787,67.65382,64.66149,67.65382,67.65382
05-04-2026-00-14-43,63.7,29.5,1286021.0,462587.0,329812.0,0.0,22161.0,269.0,2.0,1.074548,11.51052,45.95615,68.28655,64.47359,67.99538,68.28655
05-04-2026-00-14-44,63.6,29.5,1273780.0,452265.0,311083.0,0.0,20502.0,314.0,6.0,1.06432,11.26743,43.75703,65.64901,60.88799,64.99275,65.64901
05-04-2026-00-14-45,63.6,29.5,1257308.0,439631.0,290628.0,0.0,18566.0,353.0,8.0,1.050556,10.96863,41.32187,62.36052,56.83547,61.44618,62.36052
05-04-2026-00-14-46,63.6,29.5,1243582.0,429450.0,271860.0,0.0,16803.0,386.0,10.0,1.039088,10.72748,39.12062,59.29202,53.1607,58.20449,59.29202
05-04-2026-00-14-47,63.6,29.5,1230592.0,419274.0,255074.0,0.0,15399.0,379.0,11.0,1.028234,10.48706,37.12705,56.15331,49.99388,54.95511,56.15331
05-04-2026-00-14-48,63.7,29.5,1226315.0,415535.0,248377.0,0.0,15388.0,396.0,13.0,1.02466,10.39913,36.33967,55.79759,49.19744,54.37451,55.79759
05-04-2026-00-14-49,63.7,29.5,1216406.0,410144.0,242410.0,0.0,15444.0,444.0,14.0,1.016381,10.26923,35.58654,55.8326,48.49134,54.29521,55.8326
05-04-2026-00-14-50,63.7,29.5,1198014.0,400536.0,232787.0,0.0,14769.0,460.0,12.0,1.001013,10.03711,34.34945,54.04295,46.69001,52.70464,54.04295
05-04-2026-00-14-51,63.7,29.5,1179240.0,390810.0,225314.0,0.0,14113.0,469.0,13.0,0.985326,9.802005,33.33384,52.68205,45.12627,51.25897,52.68205
05-04-2026-00-14-52,63.7,29.5,1167917.0,386796.0,225861.0,0.0,14511.0,507.0,16.0,0.975865,9.701988,33.29099,53.78605,45.41599,52.0385,53.78605
05-04-2026-00-14-53,63.7,29.5,1156407.0,383869.0,228634.0,0.0,15251.0,566.0,18.0,0.966248,9.626351,33.50494,55.60292,46.24836,53.65262,55.60292
05-04-2026-00-14-54,63.7,29.5,1142919.0,380130.0,231964.0,0.0,15942.0,642.0,18.0,0.954978,9.530717,33.75714,57.39192,47.07808,55.47117,57.39192
